y[mm],cla,clb,cd,cl,cz,C[mm],C*cz[mm],w[kg/mm],sa[N],si[N],S[N],M[N*m]
640,0.9540399999999999,0.0458,0.143836,1.381456,1.37346702495,1994.32,2739.1327572,1.176,37185.491724607185,5216.6121872324475,31968.879537374738,61163.82619794949
641,0.9542259999999999,0.045795,0.1437984,1.3817114,1.37370487557,1994.108,2739.31588201,1.176,37174.43121431452,5215.4157165473025,31959.01549776722,61129.75566330284
642,0.9544119999999999,0.04579,0.1437608,1.3819668,1.37394272619,1993.896,2739.49890597,1.176,37163.37173698878,5214.219245862158,31949.152491126624,61095.69720877008
643,0.954598,0.045785,0.1437232,1.3822222,1.37418057681,1993.684,2739.68182909,1.176,37152.31329271854,5213.022775177013,31939.29051754153,61061.650832280066
644,0.954784,0.04578,0.1436856,1.3824776,1.37441842743,1993.472,2739.86465136,1.176,37141.25588159233,5211.826304491868,31929.429577100465,61027.61653176176
645,0.9549699999999999,0.045774999999999996,0.143648,1.382733,1.37465627805,1993.26,2740.04737278,1.176,37130.199503698735,5210.629833806723,31919.569669892015,60993.59430514427
646,0.9551559999999999,0.04577,0.1436104,1.3829884,1.37489412866,1993.048,2740.22999335,1.176,37119.14415912631,5209.433363121578,31909.71079600473,60959.584150356655
647,0.9553419999999999,0.045765,0.1435728,1.3832438,1.37513197928,1992.836,2740.41251307,1.176,37108.08984796358,5208.236892436432,31899.85295552715,60925.58606532818
648,0.9555279999999999,0.04576,0.1435352,1.3834992,1.3753698299,1992.624,2740.59493194,1.176,37097.03657029913,5131.428257010486,31965.60831328865,61031.63751523065
649,0.955714,0.045755,0.1434976,1.3837546,1.37560768052,1992.412,2740.77724996,1.176,37085.984326221485,5130.249160444077,31955.73516577741,60997.59921544839
650,0.9559,0.04575,0.14346,1.38401,1.37584553114,1992.2,2740.95946714,1.176,37074.93311581924,5129.070063877669,31945.863051941575,60963.57299400086
651,0.9560859999999999,0.045745,0.1434224,1.3842654,1.37608338176,1991.988,2741.14158347,1.176,37063.88293918094,5127.890967311259,31935.991971869684,60929.55884881761
652,0.9562719999999999,0.045739999999999996,0.1433848,1.3845208,1.37632123238,1991.776,2741.32359894,1.176,37052.83379639511,5126.711870744852,31926.12192565026,60895.55677782823
653,0.9564579999999999,0.045735,0.1433472,1.3847762,1.376559083,1991.564,2741.50551357,1.176,37041.785687550364,5125.532774178442,31916.25291337192,60861.56677896237
654,0.9566439999999999,0.04573,0.1433096,1.3850316,1.37679693362,1991.352,2741.68732735,1.176,37030.73861273521,5124.3536776120345,31906.384935123173,60827.58885014983
655,0.95683,0.045725,0.143272,1.385287,1.37703478424,1991.14,2741.86904029,1.176,37019.69257203821,5123.174581045625,31896.517990992586,60793.62298932039
656,0.9570159999999999,0.04572,0.14323439999999998,1.3855424,1.37727263486,1990.9279999999999,2742.05065237,1.176,37008.64756554794,5121.995484479217,31886.65208106872,60759.66919440399
657,0.9572019999999999,0.045715,0.1431968,1.3857978,1.37751048548,1990.716,2742.2321636,1.176,36997.603593352935,5120.816387912808,31876.787205440127,60725.727463330644
658,0.9573879999999999,0.04571,0.1431592,1.3860532,1.37774833609,1990.504,2742.41357399,1.176,36986.56065554176,5119.637291346399,31866.92336419536,60691.79779403034
659,0.9575739999999999,0.045704999999999996,0.1431216,1.3863086,1.37798618671,1990.292,2742.59488353,1.176,36975.51875220298,5118.458194779991,31857.060557422992,60657.88018443331
660,0.95776,0.0457,0.143084,1.386564,1.37822403733,1990.08,2742.77609222,1.176,36964.477883425134,5117.279098213582,31847.198785211553,60623.974632469726
661,0.957946,0.045695,0.1430464,1.3868194,1.37846188795,1989.868,2742.95720006,1.176,36953.43804929681,5116.1000016471735,31837.33804764964,60590.08113606992
662,0.958132,0.04569,0.1430088,1.3870748,1.37869973857,1989.656,2743.13820705,1.176,36942.39924990652,5114.920905080765,31827.478344825755,60556.19969316428
663,0.9583179999999999,0.045684999999999996,0.1429712,1.3873302,1.37893758919,1989.444,2743.31911319,1.176,36931.36148534285,5113.741808514356,31817.619676828494,60522.33030168323
664,0.9585039999999999,0.04568,0.1429336,1.3875856,1.37917543981,1989.232,2743.49991848,1.176,36920.32475569435,5112.562711947948,31807.762043746407,60488.47295955732
665,0.9586899999999999,0.045675,0.142896,1.387841,1.37941329043,1989.02,2743.68062293,1.176,36909.28906104957,5111.383615381539,31797.905445668028,60454.62766471719
666,0.958876,0.04567,0.1428584,1.3880964,1.37965114105,1988.808,2743.86122653,1.176,36898.25440149706,5110.2045188151305,31788.04988268193,60420.79441509353
667,0.959062,0.045665,0.1428208,1.3883518,1.37988899167,1988.596,2744.04172927,1.176,36887.220777125396,5109.025422248722,31778.195354876676,60386.973208617106
668,0.9592479999999999,0.04566,0.1427832,1.3886072,1.38012684229,1988.384,2744.22213117,1.176,36876.18818802314,5107.846325682312,31768.341862340825,60353.16404321876
669,0.9594339999999999,0.045655,0.1427456,1.3888626,1.38036469291,1988.172,2744.40243222,1.176,36865.156634278814,5106.667229115904,31758.48940516291,60319.36691682943
670,0.9596199999999999,0.045649999999999996,0.142708,1.389118,1.38060254353,1987.96,2744.58263243,1.176,36854.12611598099,5105.488132549495,31748.637983431494,60285.58182738016
671,0.9598059999999999,0.045645,0.1426704,1.3893734,1.38084039414,1987.748,2744.76273178,1.176,36843.09663321823,5104.309035983087,31738.787597235143,60251.80877280199
672,0.959992,0.04564,0.1426328,1.3896288,1.38107824476,1987.536,2744.94273028,1.176,36832.068186079094,5103.129939416678,31728.938246662416,60218.047751026126
673,0.960178,0.045635,0.1425952,1.3898842,1.38131609538,1987.324,2745.12262794,1.176,36821.04077465212,5101.9508428502695,31719.089931801853,60184.29875998379
674,0.9603639999999999,0.04563,0.1425576,1.3901396,1.381553946,1987.112,2745.30242475,1.176,36810.01439902589,5100.771746283861,31709.242652742025,60150.56179760631
675,0.9605499999999999,0.045625,0.14252,1.390395,1.38179179662,1986.9,2745.48212071,1.176,36798.989059288935,5099.592649717452,31699.396409571484,60116.836861825075
676,0.9607359999999999,0.04562,0.1424824,1.3906504,1.38202964724,1986.688,2745.66171582,1.176,36787.96475552982,5098.413553151044,31689.551202378778,60083.12395057161
677,0.9609219999999999,0.045614999999999996,0.1424448,1.3909058,1.38226749786,1986.476,2745.84121008,1.176,36776.9414878371,5097.234456584634,31679.707031252467,60049.423061777416
678,0.961108,0.04561,0.1424072,1.3911612,1.38250534848,1986.2640000000001,2746.02060349,1.176,36765.91925629934,5096.055360018226,31669.863896281116,60015.73419337419
679,0.9612939999999999,0.045605,0.14236959999999999,1.3914166,1.3827431991,1986.052,2746.19989606,1.176,36754.898061005086,5094.876263451817,31660.02179755327,59982.05734329363
680,0.9614799999999999,0.0456,0.14233200000000001,1.391672,1.38298104972,1985.84,2746.37908777,1.176,36743.87790204289,5093.6971668854085,31650.180735157483,59948.392509467485
681,0.9616659999999999,0.045595,0.1422944,1.3919274,1.38321890034,1985.628,2746.55817864,1.176,36732.85877950134,5092.518070319,31640.34070918234,59914.7396898277
682,0.9618519999999999,0.04559,0.1422568,1.3921828,1.38345675096,1985.416,2746.73716866,1.176,36721.84069346895,5091.338973752591,31630.501719716358,59881.09888230621
683,0.962038,0.045585,0.1422192,1.3924382,1.38369460157,1985.204,2746.91605783,1.176,36710.82364403429,5090.159877186183,31620.663766848105,59847.47008483501
684,0.962224,0.045579999999999996,0.1421816,1.3926936,1.38393245219,1984.992,2747.09484615,1.176,36699.80763128592,5088.980780619774,31610.826850666144,59813.85329534623
685,0.96241,0.045575,0.142144,1.392949,1.38417030281,1984.78,2747.27353362,1.176,36688.79265531241,5087.8016840533655,31600.990971259045,59780.24851177205
686,0.9625959999999999,0.04557,0.1421064,1.3932044,1.38440815343,1984.568,2747.45212024,1.176,36677.778716202294,5086.622587486957,31591.156128715338,59746.65573204477
687,0.9627819999999999,0.045565,0.1420688,1.3934598,1.38464600405,1984.356,2747.63060602,1.176,36666.765814044134,5085.443490920548,31581.322323123586,59713.074954096686
688,0.9629679999999999,0.045559999999999996,0.1420312,1.3937152,1.38488385467,1984.144,2747.80899094,1.176,36655.7539489265,5084.264394354139,31571.489554572356,59679.50617586026
689,0.963154,0.045555,0.1419936,1.3939706,1.38512170529,1983.932,2747.98727502,1.176,36644.74312093792,5083.085297787731,31561.65782315019,59645.949395268006
690,0.9633399999999999,0.04555,0.141956,1.394226,1.38535955591,1983.72,2748.16545825,1.176,36633.73333016698,5081.906201221322,31551.827128945657,59612.40461025246
691,0.9635259999999999,0.045545,0.1419184,1.3944814,1.38559740653,1983.508,2748.34354063,1.176,36622.72457670222,5080.727104654914,31541.997472047304,59578.87181874633
692,0.9637119999999999,0.04554,0.1418808,1.3947368,1.38583525715,1983.296,2748.52152216,1.176,36611.71686063219,5079.5480080885045,31532.168852543684,59545.3510186823
693,0.9638979999999999,0.045535,0.1418432,1.3949922,1.38607310777,1983.084,2748.69940284,1.176,36600.71018204547,5078.368911522097,31522.34127052337,59511.8422079932
694,0.9640839999999999,0.04553,0.1418056,1.3952476,1.38631095839,1982.872,2748.87718268,1.176,36589.70454103059,4780.424092961798,31809.28044806879,59495.01745854912
695,0.96427,0.045524999999999996,0.141768,1.395503,1.38654880901,1982.66,2749.05486166,1.176,36578.69993767611,4779.313915513363,31799.386022162747,59461.524877659955
696,0.964456,0.04552,0.1417304,1.3957584,1.38678665962,1982.448,2749.2324398,1.176,36567.69637207062,4778.203738064928,31789.49263400569,59428.04428174301
697,0.9646419999999999,0.045515,0.1416928,1.3960138,1.38702451024,1982.2359999999999,2749.40991709,1.176,36556.69384430262,4777.093560616492,31779.60028368613,59394.57566873136
698,0.9648279999999999,0.04551,0.1416552,1.3962692,1.38726236086,1982.024,2749.58729353,1.176,36545.692354460705,4775.983383168057,31769.708971292646,59361.11903655827
699,0.9650139999999999,0.045505,0.1416176,1.3965246,1.38750021148,1981.812,2749.76456912,1.176,36534.69190263343,4774.873205719622,31759.818696913808,59327.674383157035
700,0.9652,0.0455,0.14157999999999998,1.39678,1.3877380621,1981.6,2749.94174386,1.176,36523.692488909335,4773.763028271187,31749.929460638148,59294.241706460976
701,0.9653859999999999,0.045495,0.1415424,1.3970354,1.38797591272,1981.388,2750.11881775,1.176,36512.69411337699,4772.652850822752,31740.041262554234,59260.82100440356
702,0.9655719999999999,0.045489999999999996,0.1415048,1.3972908,1.38821376334,1981.176,2750.2957908,1.176,36501.69677612494,4771.542673374316,31730.154102750625,59227.41227491832
703,0.9657579999999999,0.045485,0.1414672,1.3975462,1.38845161396,1980.964,2750.47266299,1.176,36490.70047724175,4770.432495925881,31720.26798131587,59194.01551593884
704,0.9659439999999999,0.04548,0.1414296,1.3978016,1.38868946458,1980.752,2750.64943434,1.176,36479.70521681597,4769.322318477446,31710.382898338525,59160.63072539879
705,0.9661299999999999,0.045475,0.141392,1.398057,1.3889273152,1980.54,2750.82610484,1.176,36468.71099493616,4768.212141029011,31700.49885390715,59127.25790123198
706,0.966316,0.04547,0.1413544,1.3983124,1.38916516582,1980.328,2751.00267449,1.176,36457.717811690876,4767.101963580576,31690.6158481103,59093.8970413722
707,0.966502,0.045465,0.1413168,1.3985678,1.38940301644,1980.116,2751.17914329,1.176,36446.72566716867,4765.991786132141,31680.73388103653,59060.548143753374
708,0.9666879999999999,0.04546,0.1412792,1.3988232,1.38964086705,1979.904,2751.35551125,1.176,36435.734561458106,4764.881608683705,31670.852952774403,59027.21120630951
709,0.9668739999999999,0.045454999999999995,0.1412416,1.3990786,1.38987871767,1979.692,2751.53177835,1.176,36424.74449464772,4763.771431235271,31660.97306341245,58993.886226974675
710,0.9670599999999999,0.04545,0.141204,1.399334,1.39011656829,1979.48,2751.70794461,1.176,36413.75546682609,4762.661253786835,31651.094213039258,58960.573203683016
711,0.9672459999999999,0.045445,0.1411664,1.3995894,1.39035441891,1979.268,2751.88401001,1.176,36402.68396515639,4723.702084903349,31678.981880253043,58938.200391692655
712,0.967432,0.04544,0.1411288,1.3998448,1.39059226953,1979.056,2752.05997457,1.176,36391.48754381169,4722.600732120672,31668.886811691016,58904.845572254926
713,0.9676179999999999,0.045434999999999996,0.1410912,1.4001002,1.39083012015,1978.844,2752.23583828,1.176,36380.292302616166,4721.4993793379945,31658.79292327817,58871.50277287145
714,0.9678039999999999,0.04543,0.1410536,1.4003556,1.39106797077,1978.632,2752.41160114,1.176,36369.09824162815,4720.398026555317,31648.70021507283,58838.1719914394
715,0.9679899999999999,0.045425,0.141016,1.400611,1.39130582139,1978.42,2752.58726315,1.176,36357.90536090599,4719.296673772639,31638.608687133354,58804.853225856066
716,0.9681759999999999,0.04542,0.1409784,1.4008664,1.39154367201,1978.208,2752.76282432,1.176,36346.71366050803,4718.195320989962,31628.51833951807,58771.54647401885
717,0.968362,0.045415,0.1409408,1.4011218,1.39178152263,1977.996,2752.93828463,1.176,36335.52314049257,4717.093968207285,31618.429172285287,58738.25173382521
718,0.968548,0.04541,0.1409032,1.4013772,1.39201937325,1977.784,2753.1136441,1.176,36324.333800918,4715.992615424608,31608.341185493395,58704.969003172715
719,0.968734,0.045405,0.1408656,1.4016326,1.39225722387,1977.5720000000001,2753.28890272,1.176,36313.14564184261,4714.89126264193,31598.25437920068,58671.69827995899
720,0.9689199999999999,0.045399999999999996,0.140828,1.401888,1.39249507449,1977.3600000000001,2753.46406048,1.176,36301.95866332477,4713.7899098592525,31588.168753465514,58638.4395620818
721,0.9691059999999999,0.045395,0.1407904,1.4021434,1.3927329251,1977.148,2753.6391174,1.176,36290.77286542279,4712.688557076575,31578.084308346217,58605.19284743893
722,0.9692919999999999,0.04539,0.1407528,1.4023988,1.39297077572,1976.936,2753.81407348,1.176,36279.58824819502,4711.587204293897,31568.00104390112,58571.95813392827
723,0.969478,0.045385,0.14071519999999998,1.4026542,1.39320862634,1976.724,2753.9889287,1.176,36268.404811699795,4710.485851511221,31557.918960188574,58538.73541944783
724,0.9696639999999999,0.04538,0.1406776,1.4029096,1.39344647696,1976.512,2754.16368307,1.176,36257.22255599544,4709.384498728543,31547.838057266898,58505.52470189571
725,0.9698499999999999,0.045375,0.14064,1.403165,1.39368432758,1976.3,2754.3383366,1.176,36246.04148114032,4708.283145945865,31537.758335194452,58472.325979170026
726,0.9700359999999999,0.04537,0.1406024,1.4034204,1.3939221782,1976.088,2754.51288928,1.176,36234.861587192725,4707.181793163189,31527.679794029536,58439.13924916906
727,0.9702219999999999,0.045364999999999996,0.1405648,1.4036758,1.39416002882,1975.876,2754.6873411,1.176,36223.68287421102,4706.0804403805105,31517.602433830514,58405.96450979112
728,0.9704079999999999,0.04536,0.1405272,1.4039312,1.39439787944,1975.664,2754.86169208,1.176,36212.50534225356,4704.979087597833,31507.526254655724,58372.801758934664
729,0.970594,0.045355,0.1404896,1.4041866,1.39463573006,1975.452,2755.03594221,1.176,36201.32899137864,4703.877734815156,31497.451256563487,58339.65099449818
730,0.97078,0.04535,0.140452,1.404442,1.39487358068,1975.24,2755.2100915,1.176,36190.15382164461,4702.776382032478,31487.377439612137,58306.51221438027
731,0.9709659999999999,0.045344999999999996,0.1404144,1.4046974,1.3951114313,1975.028,2755.38413993,1.176,36178.97983310985,4701.675029249801,31477.30480386005,58273.38541647961
732,0.9711519999999999,0.04534,0.1403768,1.4049528,1.39534928192,1974.816,2755.55808752,1.176,36167.80702583263,4700.573676467124,31467.23334936551,58240.27059869499
733,0.9713379999999999,0.045335,0.1403392,1.4052082,1.39558713253,1974.604,2755.73193425,1.176,36156.6353998713,4699.472323684447,31457.163076186855,58207.16775892522
734,0.9715239999999999,0.045329999999999995,0.1403016,1.4054636,1.39582498315,1974.392,2755.90568014,1.176,36145.464955284246,4698.3709709017685,31447.093984382478,58174.07689506931
735,0.9717099999999999,0.045325,0.140264,1.405719,1.39606283377,1974.18,2756.07932518,1.176,36134.295692129745,4697.269618119091,31437.026074010653,58140.99800502624
736,0.9718959999999999,0.04532,0.1402264,1.4059744,1.39630068439,1973.968,2756.25286937,1.176,36123.127610466174,4696.168265336414,31426.95934512976,58107.93108669512
737,0.9720819999999999,0.045315,0.1401888,1.4062298,1.39653853501,1973.756,2756.42631271,1.176,36111.960710351836,4695.066912553737,31416.893797798097,58074.87613797521
738,0.9722679999999999,0.045309999999999996,0.1401512,1.4064852,1.39677638563,1973.544,2756.5996552,1.176,36100.7949918451,4693.96555977106,31406.82943207404,58041.83315676575
739,0.9724539999999999,0.045305,0.1401136,1.4067406,1.39701423625,1973.3319999999999,2756.77289685,1.176,36089.63045500427,4692.864206988382,31396.766248015887,58008.802140966116
740,0.97264,0.0453,0.140076,1.406996,1.39725208687,1973.12,2756.94603764,1.176,36078.4670998877,4691.762854205705,31386.70424568199,57975.78308847581
741,0.972826,0.045295,0.1400384,1.4072514,1.39748993749,1972.908,2757.11907759,1.176,36067.30492655373,4585.229055412613,31482.075871141114,57943.751043976255
742,0.973012,0.04529,0.1400008,1.4075068,1.39772778811,1972.696,2757.29201669,1.176,36056.14393506069,4584.15245784149,31471.9914772192,57910.7554539811
743,0.9731979999999999,0.045285,0.1399632,1.4077622,1.39796563873,1972.484,2757.46485494,1.176,36044.98412546691,4583.075860270367,31461.90826519654,57877.77182110168
744,0.9733839999999999,0.04528,0.1399256,1.4080176,1.39820348935,1972.272,2757.63759234,1.176,36033.82549783072,4581.999262699244,31451.826235131477,57844.80014323779
745,0.9735699999999999,0.045274999999999996,0.139888,1.408273,1.39844133997,1972.06,2757.81022889,1.176,36022.66805221048,4580.9226651281215,31441.74538708236,57811.840418289336
746,0.973756,0.04527,0.13985039999999999,1.4085284,1.39867919058,1971.848,2757.9827646,1.176,36011.51178866453,4579.846067556998,31431.665721107533,57778.892644156294
747,0.9739419999999999,0.045265,0.13981280000000001,1.4087838,1.3989170412,1971.636,2758.15519945,1.176,36000.35670725118,4578.769469985875,31421.587237265303,57745.95681873871
748,0.9741279999999999,0.04526,0.1397752,1.4090392,1.39915489182,1971.424,2758.32753346,1.176,35989.20280802877,4577.692872414753,31411.50993561402,57713.0329399368
749,0.9743139999999999,0.045255,0.1397376,1.4092946,1.39939274244,1971.212,2758.49976661,1.176,35978.05009105565,4576.616274843629,31401.433816212022,57680.12100565075
750,0.9744999999999999,0.04525,0.1397,1.40955,1.39963059306,1971.0,2758.67189892,0.47040000000000004,35966.89855639016,4575.539677272507,31391.35887911765,57647.22101378092
751,0.9746859999999999,0.045245,0.1396624,1.4098054,1.39986844368,1970.788,2758.84393038,0.47040000000000004,35955.74820409061,4574.463079701383,31381.28512438923,57614.33296222773
752,0.974872,0.045239999999999995,0.1396248,1.4100608,1.4001062943,1970.576,2759.015861,0.47040000000000004,35944.59903421535,4573.38648213026,31371.212552085093,57581.45684889164
753,0.975058,0.045235,0.1395872,1.4103162,1.40034414492,1970.364,2759.18769076,0.47040000000000004,35933.45104682273,4572.309884559138,31361.141162263593,57548.592671673316
754,0.9752439999999999,0.04523,0.1395496,1.4105716,1.40058199554,1970.152,2759.35941967,0.47040000000000004,35922.30424197105,4571.233286988015,31351.07095498303,57515.74042847336
755,0.9754299999999999,0.045225,0.139512,1.410827,1.40081984616,1969.94,2759.53104774,0.47040000000000004,35911.1586197187,4570.156689416892,31341.001930301805,57482.900117192585
756,0.9756159999999999,0.045219999999999996,0.1394744,1.4110824,1.40105769678,1969.728,2759.70257496,0.47040000000000004,35900.01418012397,4569.080091845769,31330.934088278205,57450.07173573182
757,0.975802,0.045215,0.1394368,1.4113378,1.4012955474,1969.516,2759.87400132,0.47040000000000004,35888.87092324522,4568.003494274646,31320.86742897057,57417.25528199201
758,0.9759879999999999,0.04521,0.1393992,1.4115932,1.40153339801,1969.304,2760.04532684,0.47040000000000004,35877.72884914078,4566.926896703522,31310.801952437258,57384.45075387415
759,0.9761739999999999,0.045204999999999995,0.1393616,1.4118486,1.40177124863,1969.092,2760.21655152,0.47040000000000004,35866.58795786898,4565.8502991324,31300.73765873658,57351.65814927941
760,0.9763599999999999,0.0452,0.139324,1.412104,1.40200909925,1968.88,2760.38767534,0.47040000000000004,35855.44824948816,4564.7737015612765,31290.674547926883,57318.87746610894
761,0.9765459999999999,0.045195,0.1392864,1.4123594,1.40224694987,1968.6680000000001,2760.55869831,0.47040000000000004,35844.30972405666,4563.697103990155,31280.612620066502,57286.10870226404
762,0.9767319999999999,0.04519,0.1392488,1.4126148,1.40248480049,1968.4560000000001,2760.72962044,0.47040000000000004,35833.172381632816,4562.620506419031,31270.551875213787,57253.35185564606
763,0.976918,0.045184999999999996,0.1392112,1.4128702,1.40272265111,1968.244,2760.90044171,0.47040000000000004,35822.036222274946,4561.543908847908,31260.49231342704,57220.606924156484
764,0.977104,0.04518,0.1391736,1.4131256,1.40296050173,1968.032,2761.07116214,0.47040000000000004,35810.90124604141,4560.467311276785,31250.433934764624,57187.87390569685
765,0.9772899999999999,0.045175,0.139136,1.413381,1.40319835235,1967.82,2761.24178172,0.47040000000000004,35799.76745299055,4559.390713705662,31240.376739284886,57155.15279816877
766,0.9774759999999999,0.04517,0.1390984,1.4136364,1.40343620297,1967.608,2761.41230045,0.47040000000000004,35788.63484318067,4558.314116134539,31230.320727046128,57122.44359947398
767,0.9776619999999999,0.045165,0.13906079999999998,1.4138918,1.40367405359,1967.396,2761.58271833,0.47040000000000004,35777.50341667013,4557.237518563416,31220.265898106714,57089.74630751428
768,0.9778479999999999,0.04516,0.1390232,1.4141472,1.40391190421,1967.184,2761.75303537,0.47040000000000004,35766.37317351726,4556.1609209922935,31210.21225252497,57057.06092019158
769,0.978034,0.045155,0.1389856,1.4144026,1.40414975483,1966.972,2761.92325155,0.47040000000000004,35755.24411378039,4555.08432342117,31200.15979035922,57024.38743540782
770,0.9782199999999999,0.045149999999999996,0.138948,1.414658,1.40438760545,1966.76,2762.09336689,0.47040000000000004,35744.11623751788,4554.007725850048,31190.108511667837,56991.72585106508
771,0.9784059999999999,0.045145,0.1389104,1.4149134,1.40462545606,1966.548,2762.26338137,0.47040000000000004,35732.98954478804,4552.931128278925,31180.058416509117,56959.076165065526
772,0.9785919999999999,0.04514,0.1388728,1.4151688,1.40486330668,1966.336,2762.43329501,0.47040000000000004,35721.86403564922,4551.854530707802,31170.009504941416,56926.43837531136
773,0.9787779999999999,0.045135,0.1388352,1.4154242,1.4051011573,1966.124,2762.6031078,0.47040000000000004,35710.73971015974,4550.777933136679,31159.961777023058,56893.81247970495
774,0.978964,0.045129999999999997,0.1387976,1.4156796,1.40533900792,1965.912,2762.77281974,0.47040000000000004,35699.61656837795,4549.701335565555,31149.915232812393,56861.19847614866
775,0.97915,0.045125,0.13876,1.415935,1.40557685854,1965.7,2762.94243083,0.47040000000000004,35688.494610362184,4548.6247379944325,31139.86987236775,56828.59636254502
776,0.979336,0.04512,0.1387224,1.4161904,1.40581470916,1965.488,2763.11194108,0.47040000000000004,35677.373836170795,4547.54814042331,31129.825695747484,56796.00613679661
777,0.9795219999999999,0.045114999999999995,0.1386848,1.4164458,1.40605255978,1965.276,2763.28135047,0.47040000000000004,35666.254245862074,4546.471542852187,31119.782703009885,56763.4277968061
778,0.9797079999999999,0.04511,0.1386472,1.4167012,1.4062904104,1965.064,2763.45065902,0.47040000000000004,35655.1358394944,4545.394945281065,31109.74089421334,56730.86134047625
779,0.9798939999999999,0.045105,0.1386096,1.4169566,1.40652826102,1964.852,2763.61986672,0.47040000000000004,35644.01861712611,4544.318347709941,31099.700269416167,56698.30676570988
780,0.98008,0.0451,0.138572,1.417212,1.40676611164,1964.64,2763.78897357,0.47040000000000004,35632.9025788155,4543.241750138818,31089.66082867668,56665.76407040995
781,0.9802659999999999,0.045094999999999996,0.1385344,1.4174674,1.40700396226,1964.4279999999999,2763.95797957,0.47040000000000004,35621.787724620925,4542.165152567695,31079.62257205323,56633.23325247945
782,0.9804519999999999,0.04509,0.1384968,1.4177228,1.40724181288,1964.216,2764.12688472,0.47040000000000004,35610.67405460075,4541.088554996572,31069.585499604178,56600.714309821524
783,0.9806379999999999,0.045085,0.1384592,1.4179782,1.40747966349,1964.004,2764.29568902,0.47040000000000004,35599.56156881328,4540.0119574254495,31059.549611387833,56568.207240339325
784,0.9808239999999999,0.045079999999999995,0.1384216,1.4182336,1.40771751411,1963.792,2764.46439248,0.47040000000000004,35588.450267316846,4538.935359854327,31049.51490746252,56535.71204193614
785,0.9810099999999999,0.045075,0.138384,1.418489,1.40795536473,1963.58,2764.63299508,0.47040000000000004,35577.3401501698,4537.858762283204,31039.481387886597,56503.22871251537
786,0.981196,0.04507,0.1383464,1.4187444,1.40819321535,1963.368,2764.80149684,0.47040000000000004,35566.2312174305,4536.78216471208,31029.449052718417,56470.75724998041
787,0.981382,0.045065,0.1383088,1.4189998,1.40843106597,1963.156,2764.96989775,0.47040000000000004,35555.12346915724,4535.705567140958,31019.41790201628,56438.29765223482
788,0.9815679999999999,0.045059999999999996,0.1382712,1.4192552,1.40866891659,1962.944,2765.13819781,0.47040000000000004,35544.01690540837,4534.628969569834,31009.38793583853,56405.84991718224
789,0.9817539999999999,0.045055,0.1382336,1.4195106,1.40890676721,1962.732,2765.30639702,0.47040000000000004,35532.91152624224,4349.084405534594,31183.827120707647,56458.543846671135
